player_name,sg_total,sg_ott,sg_app,sg_arg,sg_putt,driving_dist,driving_acc,gir_pct,scrambling_pct,putts_per_round,scoring_avg,season,sg_ballstriking,sg_shortgame
Lanto Griffin,0.64,0.076,0.152,0.077,0.336,302.5,57.16,65.52,63.4,2.35,54.49,2020,0.22799999999999998,0.41300000000000003
Louis Oosthuizen,-0.06,0.075,-0.126,-0.268,0.258,300.1,60.63,65.28,58.0,2.56,43.21,2020,-0.051000000000000004,-0.010000000000000009
Lucas Glover,0.085,0.327,0.4,-0.286,-0.356,301.6,64.63,68.74,57.03,5.03,49.18,2020,0.7270000000000001,-0.6419999999999999
Luke List,0.301,0.387,0.3,0.118,-0.504,307.8,57.45,69.48,57.52,3.28,53.85,2020,0.687,-0.386
Mackenzie Hughes,0.392,-0.352,-0.39,0.454,0.681,298.7,55.77,63.41,60.52,2.27,54.4,2020,-0.742,1.135
Marc Leishman,-0.239,-0.202,0.366,-0.143,-0.26,295.8,51.88,61.48,55.32,3.7,42.11,2020,0.16399999999999998,-0.403
Mark Anderson,-0.075,-0.123,0.192,-0.171,0.027,293.1,59.51,66.78,65.12,4.07,54.88,2020,0.069,-0.14400000000000002
Mark Hubbard,0.508,-0.044,0.204,-0.065,0.413,290.1,62.84,66.67,60.85,0.93,47.26,2020,0.15999999999999998,0.348
Martin Laird,-0.082,0.251,0.187,-0.023,-0.497,302.1,63.74,70.51,60.87,4.63,32.2,2020,0.438,-0.52
Martin Trainer,-3.454,-0.76,-2.115,-0.253,-0.325,302.1,48.07,52.05,51.13,3.33,47.95,2020,-2.875,-0.5780000000000001
Matt Every,-1.766,-0.335,-0.4,-0.395,-0.636,292.3,58.03,65.06,48.76,4.94,39.47,2020,-0.7350000000000001,-1.0310000000000001
Matt Fitzpatrick,1.067,0.206,0.094,-0.113,0.88,294.7,64.58,66.05,58.79,1.48,47.17,2020,0.3,0.767
Matt Jones,-0.129,0.159,-0.438,0.089,0.061,297.3,59.17,66.23,58.01,2.66,58.33,2020,-0.279,0.15
Matt Kuchar,0.677,-0.039,0.014,0.015,0.687,282.9,65.82,64.98,60.91,1.39,58.43,2020,-0.025,0.7020000000000001
Matt Wallace,0.031,0.158,-0.554,0.401,0.027,301.7,53.08,63.64,58.33,3.42,59.3,2020,-0.396,0.42800000000000005
Matthew NeSmith,0.279,-0.156,0.473,-0.158,0.12,295.0,64.14,70.18,60.0,1.52,49.48,2020,0.31699999999999995,-0.038000000000000006
Matthew Wolff,0.491,0.607,0.099,-0.337,0.123,311.6,58.98,66.82,57.01,3.17,43.48,2020,0.706,-0.21400000000000002
Maverick McNealy,0.244,0.025,-0.391,-0.053,0.663,296.6,58.23,65.86,62.53,3.79,61.36,2020,-0.366,0.61
Max Homa,0.279,0.272,0.115,-0.248,0.14,300.6,58.94,64.6,59.87,1.85,49.04,2020,0.387,-0.10799999999999998
Michael Gellerman,-0.525,-0.404,0.088,-0.403,0.194,293.5,62.52,68.25,57.08,5.95,33.33,2020,-0.31600000000000006,-0.20900000000000002
Michael Gligic,-0.208,0.136,-0.089,-0.08,-0.175,298.4,59.46,67.13,59.51,4.9,50.79,2020,0.047000000000000014,-0.255
Michael Thompson,-0.173,-0.187,-0.127,-0.04,0.181,288.4,65.4,64.96,60.87,1.39,57.14,2020,-0.314,0.141
Nate Lashley,-0.321,-0.276,-0.353,0.106,0.201,287.0,62.05,64.85,57.75,2.05,46.99,2020,-0.629,0.307
Nelson Ledesma,-1.835,-0.704,-0.645,-0.424,-0.062,298.2,50.98,62.64,56.88,2.43,48.15,2020,-1.349,-0.486
Nick Taylor,0.073,0.094,0.052,-0.03,-0.043,296.6,64.24,66.95,56.98,2.16,46.34,2020,0.146,-0.073
Nick Watney,0.276,-0.433,0.416,0.162,0.132,302.3,55.45,70.2,55.51,2.43,45.31,2020,-0.017000000000000015,0.29400000000000004
Pat Perez,0.272,-0.163,0.252,-0.069,0.253,290.3,62.75,70.51,59.25,3.27,57.83,2020,0.089,0.184
Patrick Cantlay,1.316,0.404,0.523,0.17,0.219,303.1,59.35,68.36,59.54,4.63,55.41,2020,0.927,0.389
Patrick Reed,1.295,0.278,0.102,0.316,0.599,296.0,56.08,65.32,63.64,1.67,60.61,2020,0.38,0.915
Patrick Rodgers,0.386,0.211,-0.465,-0.018,0.657,308.5,52.95,66.97,58.23,1.5,49.15,2020,-0.254,0.639
Patton Kizzire,-0.606,-0.661,-0.368,-0.031,0.453,294.8,54.03,64.85,56.61,2.34,45.45,2020,-1.029,0.42200000000000004
Paul Casey,0.431,0.546,0.631,-0.363,-0.383,307.2,63.6,70.63,60.14,2.59,47.5,2020,1.177,-0.746
Peter Malnati,-0.492,-0.461,-0.431,0.067,0.333,287.6,54.45,62.57,60.94,3.06,44.93,2020,-0.892,0.4
Peter Uihlein,-0.154,-0.724,-0.083,0.29,0.362,301.8,47.42,67.96,56.45,1.28,57.69,2020,-0.8069999999999999,0.6519999999999999
Phil Mickelson,0.147,-0.02,-0.129,0.379,-0.083,301.5,54.0,63.51,60.6,0.69,56.6,2020,-0.149,0.296
Rafa Cabrera Bello,-0.524,-0.096,-0.166,-0.328,0.067,293.7,62.55,63.84,57.97,2.78,37.93,2020,-0.262,-0.261
Rhein Gibson,-0.87,-0.888,-0.757,0.342,0.432,297.8,51.93,65.22,58.15,2.59,56.25,2020,-1.645,0.774
Richy Werenski,0.484,-0.13,0.038,0.091,0.485,298.1,57.98,66.67,59.52,2.08,50.94,2020,-0.092,0.576
Rickie Fowler,0.71,0.172,0.099,0.222,0.217,294.9,64.84,66.54,60.38,2.38,47.95,2020,0.271,0.439
Rob Oppenheim,-0.368,-0.282,-0.123,0.536,-0.499,284.2,62.95,65.21,62.04,3.33,52.69,2020,-0.40499999999999997,0.03700000000000003
Robby Shelton,-0.121,0.057,0.127,-0.153,-0.152,296.6,61.17,66.9,53.66,2.17,46.46,2020,0.184,-0.305
Robert Streb,-1.155,-0.117,-0.221,-0.244,-0.573,293.7,58.08,67.33,52.72,3.7,35.37,2020,-0.338,-0.817
Roger Sloan,-0.6,-0.198,-0.384,0.042,-0.06,291.5,58.26,65.58,61.08,3.51,54.44,2020,-0.5820000000000001,-0.017999999999999995
Rory McIlroy,1.243,0.702,0.504,0.108,-0.071,314.0,56.34,67.78,60.63,2.22,45.16,2020,1.206,0.037000000000000005
Rory Sabbatini,0.071,0.005,-0.278,0.359,-0.015,283.9,60.76,65.24,60.29,3.61,59.83,2020,-0.273,0.344
Russell Henley,0.853,-0.049,0.867,0.224,-0.188,290.1,65.65,71.69,65.42,4.09,55.7,2020,0.818,0.036000000000000004
Russell Knox,0.03,-0.145,0.449,0.077,-0.35,296.3,62.2,70.11,63.42,2.65,55.43,2020,0.30400000000000005,-0.27299999999999996
Ryan Armour,-0.193,0.02,0.044,0.16,-0.418,284.1,73.86,67.91,56.42,2.5,39.02,2020,0.064,-0.258
Ryan Brehm,-0.821,0.346,-0.327,-0.293,-0.547,315.3,48.78,68.78,55.87,6.25,49.32,2020,0.01899999999999996,-0.8400000000000001
Ryan Moore,0.559,0.291,0.37,-0.136,0.033,289.9,68.63,68.56,59.04,2.38,47.95,2020,0.661,-0.10300000000000001
Ryan Palmer,0.387,0.28,0.362,0.017,-0.272,299.3,60.08,65.93,59.95,1.17,50.0,2020,0.642,-0.255
Sam Burns,0.329,0.493,-0.179,-0.394,0.409,312.0,54.8,66.95,57.1,1.54,32.14,2020,0.314,0.014999999999999958
Sam Ryder,-0.013,-0.033,0.154,-0.099,-0.035,297.7,61.22,66.35,60.85,2.78,42.39,2020,0.121,-0.134
Scott Brown,-0.347,0.215,-0.307,0.004,-0.259,288.5,67.37,64.5,59.66,4.8,44.12,2020,-0.092,-0.255
Scott Harrington,-0.344,0.234,-0.579,-0.087,0.088,307.1,58.36,64.46,55.63,3.79,57.72,2020,-0.345,0.0010000000000000009
Scott Piercy,-0.169,0.263,0.134,-0.355,-0.213,297.2,62.68,64.73,57.28,1.46,36.19,2020,0.397,-0.568
Scott Stallings,0.208,-0.191,0.309,0.072,0.019,297.6,57.31,69.65,59.84,2.63,48.28,2020,0.118,0.091
Scottie Scheffler,1.078,0.618,0.398,0.115,-0.053,308.9,61.24,69.04,60.61,0.97,48.99,2020,1.016,0.062000000000000006
Seamus Power,0.307,0.124,-0.358,0.433,0.108,304.5,58.61,69.44,56.82,0.56,51.35,2020,-0.23399999999999999,0.541
Sebastian Cappelen,-1.09,-0.293,-0.862,0.01,0.055,303.7,51.15,64.36,61.18,2.16,47.73,2020,-1.155,0.065
Sebastián Muñoz,0.691,0.218,0.308,0.11,0.055,302.3,60.42,66.34,62.48,2.78,50.0,2020,0.526,0.165
Sepp Straka,0.368,0.285,0.119,-0.288,0.252,302.7,60.2,66.98,59.38,2.67,51.79,2020,0.40399999999999997,-0.035999999999999976
Sergio Garcia,0.583,0.848,0.181,0.308,-0.754,305.8,60.62,68.31,59.36,3.7,55.07,2020,1.029,-0.446
Shane Lowry,0.322,0.203,0.354,0.122,-0.356,299.4,60.95,69.44,62.4,3.42,61.54,2020,0.5569999999999999,-0.23399999999999999
Si Woo Kim,0.267,-0.075,0.115,0.305,-0.079,298.1,57.03,65.54,58.82,3.14,49.32,2020,0.04000000000000001,0.22599999999999998
Stewart Cink,0.101,-0.118,0.219,-0.12,0.121,295.7,56.38,67.97,55.78,0.79,47.17,2020,0.101,0.0010000000000000009
Sung Kang,-0.532,0.006,0.0,-0.231,-0.307,303.4,55.63,65.3,54.17,5.05,44.44,2020,0.006,-0.538
Sungjae Im,0.784,0.437,0.106,0.007,0.233,300.5,64.48,67.08,62.12,3.42,58.82,2020,0.543,0.24000000000000002
Talor Gooch,0.423,-0.019,0.113,0.016,0.313,298.2,58.35,67.07,57.32,1.39,51.02,2020,0.094,0.329
"Ted Potter, Jr.",-0.883,-0.378,0.11,-0.148,-0.468,290.2,60.65,68.94,57.72,3.4,39.44,2020,-0.268,-0.616
Tim Wilkinson,-0.065,-0.112,-0.101,0.234,-0.085,284.7,68.27,67.39,63.33,2.59,48.57,2020,-0.21300000000000002,0.14900000000000002
Tom Hoge,0.401,0.062,0.389,-0.095,0.046,290.4,60.58,65.62,60.48,2.78,43.33,2020,0.451,-0.049
Tommy Fleetwood,0.556,0.389,-0.378,0.107,0.437,309.6,61.33,67.22,56.36,4.04,56.92,2020,0.01100000000000001,0.544
Tony Finau,1.243,0.341,0.497,0.266,0.14,309.8,51.79,68.83,60.89,2.5,47.75,2020,0.8380000000000001,0.406
Troy Merritt,-0.166,-0.074,-0.323,-0.238,0.47,291.8,64.52,66.5,60.0,2.91,47.96,2020,-0.397,0.23199999999999998
Tyler Duncan,0.042,0.075,0.3,-0.202,-0.132,286.3,69.87,67.54,58.56,3.11,42.98,2020,0.375,-0.334
Tyler McCumber,-0.725,0.215,0.014,-0.203,-0.751,310.2,54.25,66.25,55.59,4.63,39.24,2020,0.229,-0.954
Tyrrell Hatton,1.431,0.188,0.694,0.184,0.365,301.6,61.73,69.31,58.62,2.02,43.18,2020,0.8819999999999999,0.5489999999999999
Vaughn Taylor,-0.058,-0.043,-0.155,-0.155,0.294,281.6,67.84,63.75,58.54,1.46,47.01,2020,-0.198,0.13899999999999998
Viktor Hovland,0.789,0.447,0.633,-0.243,-0.048,299.3,63.24,68.47,56.67,2.78,45.45,2020,1.08,-0.291
Vince Whaley,-0.745,-0.002,-0.761,-0.259,0.277,300.9,58.38,66.67,57.89,6.84,29.41,2020,-0.763,0.018000000000000016
Webb Simpson,1.597,0.123,0.64,0.244,0.589,296.2,67.31,70.83,64.47,1.59,56.34,2020,0.763,0.833
Wes Roach,-1.056,-0.175,-0.449,0.073,-0.505,290.5,62.61,67.92,58.01,2.56,38.98,2020,-0.624,-0.432
Will Gordon,0.276,0.564,-0.106,-0.036,-0.145,308.8,57.37,71.7,57.67,3.89,50.0,2020,0.45799999999999996,-0.181
Wyndham Clark,-0.302,-0.398,-0.57,0.11,0.557,305.1,52.18,62.57,57.66,2.12,53.4,2020,-0.968,0.667
Xander Schauffele,1.605,0.648,0.366,0.225,0.366,305.4,60.31,70.87,66.49,4.94,56.44,2020,1.014,0.591
Xinjun Zhang,0.26,0.104,0.005,0.063,0.087,293.8,59.52,66.02,56.26,3.11,50.0,2020,0.109,0.15
Zac Blair,-0.809,-0.405,-0.443,-0.065,0.103,280.9,62.62,63.47,60.6,3.54,50.79,2020,-0.8480000000000001,0.03799999999999999
Zach Johnson,0.466,-0.092,0.287,-0.098,0.369,285.9,62.76,68.03,62.11,1.54,50.56,2020,0.19499999999999998,0.271
